filename,expected,predicted,raw,ocr_conf,detected,match
MDZ090 _9.jpg,0090,,,0.0,True,False
TUL864_1.jpg,0864,0086,8 6,0.9589386582374573,True,False
TUL803_3.jpg,0803,,,0.0,True,False
MDZ097_3.jpg,0097,,,0.0,True,False
TUL082_6.jpg,0082,0028,2 8,0.9999848008155823,True,False
TUL051_2.jpg,0051,,: •,0.7519918084144592,True,False
TUL023_6.jpg,0023,0002,2,0.9999682903289795,True,False
TUL866.jpg,0866,,,0.0,True,False
TUL859.jpg,0859,0059,5 9,0.886972039937973,True,False
MDZ094 _4.jpg,0094,,,0.0,True,False
TUL884_1.JPG,0884,0088,8 8 t,0.9274087150891622,True,False
QBA1156_5.jpg,1156,0005,5,0.999880313873291,True,False
TUL855_5.jpg,0855,,,0.0,True,False
MDZ087 _3.jpg,0087,0087,87,0.9989444017410278,True,True
SDB274.jpg,0274,0004,4,0.9419397115707397,True,False
TUL831_4.jpg,0831,0003,3 ,0.49996525049209595,True,False
TUL021_1.jpg,0021,0002,2,0.9999558925628662,True,False
TUL024_3.jpg,0024,,,0.0,True,False
QBA1096a_2.jpg,1096a,,,0.0,True,False
MDZ087 _8.jpg,0087,,,0.0,True,False
